STATE NAME,DISTRICT NAME,PROJECT NAME,awc_count,total_active_0_6,total_measured_0_6,avg_efficiency_pct,suw_mean,sam_mean,mam_mean,meas_gt_active_count,eff_out_of_range_count,weighted_efficiency_pct,<60,60-80,80-95,95-<100,100,coverage_gap,awc_below_80,awc_below_95,operational_priority_score,coverage_gap_pct,awc_below_80_pct,awc_below_95_pct
Odisha,Ganjam,Buguda,231,8801,8795,99.91722943722944,0.08142857142857143,0.05636363636363636,0.16861471861471863,0,0,99.93182592887172,0.0,0.0,1.0,5.0,225.0,6,0.0,1.0,2.505372520143569,0.06817407112828089,0.0,0.4329004329004329
Odisha,Ganjam,Sanakhemundi,247,14812,14804,99.94931174089069,0.7180566801619432,0.3379352226720648,0.7622267206477733,0,0,99.94598973805023,0.0,0.0,1.0,1.0,245.0,8,0.0,1.0,2.294342807724561,0.054010261949770454,0.0,0.4048582995951417
Odisha,Ganjam,Patrapur,249,9954,9950,99.96305220883534,2.5986746987951808,1.4187550200803212,2.6097590361445784,0,0,99.95981514968857,0.0,0.0,0.0,4.0,245.0,4,0.0,0.0,0.20092425155716295,0.04018485031143259,0.0,0.0
Odisha,Ganjam,PURUSHOTTAMPUR,253,10649,10645,99.96292490118577,0.6130830039525692,0.30584980237154147,0.9975494071146245,0,0,99.96243778758569,0.0,0.0,0.0,3.0,250.0,4,0.0,0.0,0.187811062071556,0.0375622124143112,0.0,0.0
Odisha,Jagatsinghpur,Tirtol,294,9379,9377,99.98690476190477,0.5136734693877552,0.17673469387755103,0.9797959183673469,0,0,99.97867576500693,0.0,0.0,0.0,1.0,293.0,2,0.0,0.0,0.10662117496534812,0.021324234993069624,0.0,0.0
Odisha,Jagatsinghpur,Balikuda,252,8495,8494,99.98984126984126,1.105753968253968,0.601468253968254,1.1400396825396826,0,0,99.9882283696292,0.0,0.0,0.0,1.0,251.0,1,0.0,0.0,0.05885815185403178,0.011771630370806356,0.0,0.0
Odisha,Jagatsinghpur,Biridi,170,4471,4471,100.0,0.9512352941176471,0.46341176470588236,1.2256470588235293,0,0,100.0,0.0,0.0,0.0,0.0,170.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,Jagatsinghpur,Erasama,239,8424,8424,100.0,0.737071129707113,0.3275732217573221,1.6039330543933052,0,0,100.0,0.0,0.0,0.0,0.0,239.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,Jagatsinghpur,Jagatsinghpur,286,9945,9945,100.0,0.852937062937063,0.5364685314685315,1.308216783216783,0,0,100.0,0.0,0.0,0.0,0.0,286.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,Jajapur,Rasulpur,266,13463,13461,99.97567669172932,1.0775187969924813,0.4091729323308271,1.418609022556391,0,0,99.98514447002897,0.0,0.0,1.0,1.0,264.0,2,0.0,1.0,1.9539768979754593,0.014855529971031716,0.0,0.37593984962406013
